Fecha;Sucursal;Vendedor;Categoría de producto;Producto;Precio unitario;Cantidad vendida;Total cobrado
1/07/2021;Abasto;Kya Girard;C-005;P-026;185.03;7;1295.21
2/07/2021;Santo Tomás;Reynaldo Gliston;C-004;P-023;280.35;8;2242.8
2/07/2021;Abasto;Travon Fotherby;C-004;P-016;259.34;1;259.34
2/07/2021;Abasto;Faith Hurst;C-004;P-017;370.8;6;2224.8
2/07/2021;Villa Grande;Jamarcus Sears;C-005;P-026;185.03;9;1665.27
2/07/2021;Villa Grande;Joey Paredes;C-005;P-027;432.9;10;4329
2/07/2021;Villa Grande;Yahir Milthorpe;C-004;P-021;349.42;6;2096.52
2/07/2021;Abasto;Bethany Selby;C-001;P-001;270.36;2;540.72
2/07/2021;Santo Tomás;Reynaldo Gliston;C-001;P-002;116.7;1;116.7
2/07/2021;Santo Tomás;Zavier Chittenden;C-001;P-001;270.36;6;1622.16
3/07/2021;Villa Grande;Marisa Bradford;C-004;P-023;280.35;1;280.35
3/07/2021;Victoria;Jaime Gallardo;C-004;P-022;143.56;3;430.68
4/07/2021;Abasto;Kya Girard;C-004;P-025;129.06;2;258.12
4/07/2021;Abasto;Alani Leigh;C-002;P-008;261.87;9;2356.83
4/07/2021;Villa Grande;Marisa Bradford;C-005;P-034;361.83;4;1447.32
4/07/2021;Santo Tomás;Reynaldo Gliston;C-004;P-024;427.11;4;1708.44
4/07/2021;Abasto;Travon Fotherby;C-003;P-012;414.36;6;2486.16
5/07/2021;Abasto;Faith Hurst;C-004;P-024;427.11;2;854.22
5/07/2021;Villa Grande;Macie Dixie;C-006;P-037;161.87;8;1294.96
5/07/2021;Abasto;Kya Girard;C-003;P-014;245.55;3;736.65
5/07/2021;Santo Tomás;Stanley Botolph;C-006;P-038;398.03;9;3582.27
6/07/2021;Santo Tomás;Stanley Botolph;C-004;P-016;259.34;9;2334.06
6/07/2021;San Genaro;Barb Pelletier;C-005;P-035;405.47;6;2432.82
7/07/2021;Victoria;Joslyn Gallagher;C-004;P-021;349.42;1;349.42
7/07/2021;Abasto;Bethany Selby;C-004;P-022;143.56;9;1292.04
8/07/2021;Victoria;Jaime Gallardo;C-002;P-007;385.93;5;1929.65
8/07/2021;Victoria;Nathaly Corwin;C-001;P-004;321.99;9;2897.91
9/07/2021;Villa Grande;Itzel Halstead;C-004;P-019;103.96;7;727.72
10/07/2021;San Genaro;Barb Pelletier;C-004;P-017;370.8;3;1112.4
11/07/2021;San Genaro;Irvin Reynold;C-006;P-036;405.74;4;1622.96
11/07/2021;Villa Grande;Yahir Milthorpe;C-003;P-012;414.36;7;2900.52
11/07/2021;Villa Grande;Itzel Halstead;C-006;P-037;161.87;7;1133.09
11/07/2021;San Genaro;Barb Pelletier;C-006;P-038;398.03;2;796.06
11/07/2021;Abasto;Alani Leigh;C-001;P-005;183.44;8;1467.52
12/07/2021;San Genaro;Nash Garrison;C-003;P-013;115.75;10;1157.5
13/07/2021;Villa Grande;Itzel Halstead;C-006;P-041;234.59;5;1172.95
13/07/2021;San Genaro;Nash Garrison;C-003;P-013;115.75;10;1157.5
14/07/2021;Santo Tomás;Reynaldo Gliston;C-002;P-011;244.13;7;1708.91
14/07/2021;Abasto;Kya Girard;C-004;P-021;349.42;2;698.84
15/07/2021;Santo Tomás;Reynaldo Gliston;C-006;P-036;405.74;5;2028.7
15/07/2021;Santo Tomás;Reynaldo Gliston;C-001;P-003;361.53;9;3253.77
15/07/2021;Abasto;Kya Girard;C-003;P-013;115.75;5;578.75
16/07/2021;San Genaro;Nash Garrison;C-004;P-016;259.34;8;2074.72
16/07/2021;Abasto;Amica Araya;C-006;P-042;144.7;2;289.4
17/07/2021;Abasto;Amica Araya;C-005;P-029;172.82;2;345.64
18/07/2021;Santo Tomás;Stanley Botolph;C-005;P-027;432.9;1;432.9
19/07/2021;San Genaro;Irvin Reynold;C-006;P-040;273.32;6;1639.92
19/07/2021;Villa Grande;Louise Ralph;C-004;P-020;205.56;5;1027.8
19/07/2021;San Genaro;Nash Garrison;C-004;P-019;103.96;7;727.72
19/07/2021;Villa Grande;Joey Paredes;C-004;P-021;349.42;7;2445.94
20/07/2021;Santo Tomás;Reynaldo Gliston;C-003;P-012;414.36;6;2486.16
20/07/2021;San Genaro;Irvin Reynold;C-005;P-026;185.03;9;1665.27
