Fecha;Sucursal;Vendedor;Categoría de producto;Producto;Precio unitario;Cantidad vendida;Total cobrado
1/01/2021;Victoria;Nathaly Corwin;C-001;P-004;321.99;2;643.98
1/01/2021;Abasto;Desmond Haydyn;C-005;P-026;185.03;8;1480.24
2/01/2021;Villa Grande;Joey Paredes;C-004;P-017;370.8;3;1112.4
2/01/2021;Abasto;Amica Araya;C-006;P-039;177.21;7;1240.47
2/01/2021;San Genaro;Irvin Reynold;C-003;P-012;414.36;8;3314.88
2/01/2021;Victoria;Joslyn Gallagher;C-001;P-001;270.36;8;2162.88
2/01/2021;Victoria;Jaime Gallardo;C-005;P-034;361.83;8;2894.64
2/01/2021;Abasto;Alani Leigh;C-004;P-016;259.34;5;1296.7
2/01/2021;Villa Grande;Louise Ralph;C-004;P-019;103.96;6;623.76
3/01/2021;Santo Tomás;Zavier Chittenden;C-006;P-042;144.7;3;434.1
3/01/2021;Abasto;Bethany Selby;C-003;P-012;414.36;2;828.72
3/01/2021;Abasto;Kya Girard;C-006;P-038;398.03;8;3184.24
3/01/2021;Abasto;Amica Araya;C-001;P-004;321.99;1;321.99
4/01/2021;Abasto;Kya Girard;C-005;P-029;172.82;6;1036.92
5/01/2021;Villa Grande;Macie Dixie;C-003;P-014;245.55;8;1964.4
5/01/2021;Santo Tomás;Stanley Botolph;C-006;P-038;398.03;1;398.03
5/01/2021;Victoria;Joslyn Gallagher;C-001;P-003;361.53;3;1084.59
6/01/2021;San Genaro;Irvin Reynold;C-001;P-004;321.99;4;1287.96
6/01/2021;Victoria;Gage Cutting;C-006;P-037;161.87;8;1294.96
7/01/2021;Villa Grande;Joey Paredes;C-004;P-018;121.47;2;242.94
7/01/2021;San Genaro;Nash Garrison;C-005;P-031;281.8;3;845.4
8/01/2021;Victoria;Nathaly Corwin;C-002;P-010;183.85;8;1470.8
8/01/2021;Villa Grande;Louise Ralph;C-004;P-020;205.56;1;205.56
8/01/2021;Abasto;Bethany Selby;C-006;P-040;273.32;7;1913.24
9/01/2021;Santo Tomás;Stanley Botolph;C-006;P-042;144.7;1;144.7
9/01/2021;Villa Grande;Macie Dixie;C-006;P-042;144.7;5;723.5
9/01/2021;Santo Tomás;Zavier Chittenden;C-001;P-005;183.44;10;1834.4
9/01/2021;San Genaro;Irvin Reynold;C-005;P-031;281.8;10;2818
10/01/2021;Victoria;Joslyn Gallagher;C-001;P-004;321.99;8;2575.92
11/01/2021;Santo Tomás;Zavier Chittenden;C-006;P-041;234.59;9;2111.31
11/01/2021;Abasto;Bethany Selby;C-004;P-016;259.34;4;1037.36
12/01/2021;Abasto;Amica Araya;C-006;P-040;273.32;3;819.96
12/01/2021;Abasto;Alani Leigh;C-005;P-029;172.82;8;1382.56
13/01/2021;Santo Tomás;Zavier Chittenden;C-004;P-019;103.96;5;519.8
14/01/2021;San Genaro;Barb Pelletier;C-005;P-026;185.03;4;740.12
14/01/2021;San Genaro;Irvin Reynold;C-001;P-003;361.53;8;2892.24
15/01/2021;Victoria;Gage Cutting;C-005;P-033;331.34;9;2982.06
16/01/2021;Abasto;Faith Hurst;C-001;P-004;321.99;3;965.97
17/01/2021;Villa Grande;Jamarcus Sears;C-003;P-015;279.25;8;2234
18/01/2021;Abasto;Travon Fotherby;C-005;P-033;331.34;10;3313.4
19/01/2021;Villa Grande;Jamarcus Sears;C-001;P-004;321.99;3;965.97
20/01/2021;Abasto;Travon Fotherby;C-006;P-041;234.59;1;234.59
20/01/2021;Victoria;Joslyn Gallagher;C-004;P-024;427.11;6;2562.66
21/01/2021;Victoria;Joslyn Gallagher;C-003;P-014;245.55;7;1718.85
22/01/2021;Villa Grande;Louise Ralph;C-004;P-019;103.96;8;831.68
22/01/2021;Villa Grande;Marisa Bradford;C-006;P-038;398.03;5;1990.15
22/01/2021;Abasto;Kya Girard;C-002;P-008;261.87;6;1571.22
23/01/2021;Villa Grande;Joey Paredes;C-005;P-032;207.23;9;1865.07
24/01/2021;Abasto;Faith Hurst;C-003;P-012;414.36;10;4143.6
25/01/2021;Victoria;Jaime Gallardo;C-004;P-025;129.06;2;258.12
25/01/2021;Santo Tomás;Stanley Botolph;C-001;P-004;321.99;1;321.99
25/01/2021;Villa Grande;Marisa Bradford;C-002;P-009;228.04;5;1140.2
26/01/2021;San Genaro;Barb Pelletier;C-001;P-002;116.7;6;700.2
27/01/2021;Villa Grande;Joey Paredes;C-001;P-005;183.44;7;1284.08
27/01/2021;Villa Grande;Itzel Halstead;C-002;P-006;104.98;3;314.94
28/01/2021;Abasto;Amica Araya;C-003;P-013;115.75;10;1157.5
28/01/2021;Santo Tomás;Zavier Chittenden;C-003;P-012;414.36;4;1657.44
28/01/2021;Santo Tomás;Reynaldo Gliston;C-001;P-005;183.44;10;1834.4
28/01/2021;Victoria;Gage Cutting;C-004;P-017;370.8;2;741.6
28/01/2021;Villa Grande;Joey Paredes;C-002;P-009;228.04;6;1368.24
28/01/2021;Villa Grande;Jamarcus Sears;C-002;P-011;244.13;6;1464.78
28/01/2021;Villa Grande;Joey Paredes;C-006;P-041;234.59;5;1172.95
28/01/2021;Villa Grande;Marisa Bradford;C-003;P-015;279.25;8;2234
29/01/2021;San Genaro;Irvin Reynold;C-002;P-006;104.98;6;629.88
29/01/2021;Victoria;Jaime Gallardo;C-006;P-038;398.03;8;3184.24
29/01/2021;San Genaro;Barb Pelletier;C-002;P-006;104.98;10;1049.8
29/01/2021;Abasto;Kya Girard;C-004;P-021;349.42;6;2096.52
30/01/2021;Victoria;Jaime Gallardo;C-004;P-016;259.34;5;1296.7
31/01/2021;Villa Grande;Itzel Halstead;C-005;P-034;361.83;7;2532.81
31/01/2021;Abasto;Kya Girard;C-004;P-016;259.34;4;1037.36
31/01/2021;San Genaro;Nash Garrison;C-004;P-022;143.56;4;574.24
31/01/2021;Victoria;Gage Cutting;C-006;P-036;405.74;7;2840.18
