Fecha;Sucursal;Vendedor;Categoría de producto;Producto;Precio unitario;Cantidad vendida;Total cobrado
1/04/2021;Victoria;Nathaly Corwin;C-004;P-025;129.06;8;1032.48
2/04/2021;Abasto;Alani Leigh;C-003;P-013;115.75;5;578.75
2/04/2021;Abasto;Travon Fotherby;C-001;P-002;116.7;2;233.4
3/04/2021;Villa Grande;Louise Ralph;C-004;P-023;280.35;3;841.05
4/04/2021;Santo Tomás;Reynaldo Gliston;C-002;P-011;244.13;3;732.39
4/04/2021;Villa Grande;Itzel Halstead;C-004;P-019;103.96;2;207.92
4/04/2021;Abasto;Travon Fotherby;C-005;P-026;185.03;5;925.15
5/04/2021;Abasto;Amica Araya;C-004;P-023;280.35;3;841.05
6/04/2021;Victoria;Gage Cutting;C-004;P-022;143.56;8;1148.48
6/04/2021;Abasto;Faith Hurst;C-005;P-032;207.23;9;1865.07
7/04/2021;Abasto;Kya Girard;C-006;P-042;144.7;3;434.1
8/04/2021;Santo Tomás;Zavier Chittenden;C-001;P-002;116.7;2;233.4
8/04/2021;Villa Grande;Itzel Halstead;C-005;P-030;102.05;3;306.15
8/04/2021;Villa Grande;Macie Dixie;C-004;P-024;427.11;7;2989.77
8/04/2021;Victoria;Gage Cutting;C-006;P-041;234.59;4;938.36
8/04/2021;Abasto;Kya Girard;C-004;P-016;259.34;3;778.02
8/04/2021;Santo Tomás;Reynaldo Gliston;C-002;P-008;261.87;8;2094.96
8/04/2021;San Genaro;Irvin Reynold;C-005;P-034;361.83;4;1447.32
8/04/2021;Victoria;Nathaly Corwin;C-006;P-042;144.7;9;1302.3
9/04/2021;Abasto;Faith Hurst;C-006;P-043;314.93;8;2519.44
10/04/2021;Abasto;Faith Hurst;C-004;P-017;370.8;5;1854
10/04/2021;Abasto;Bethany Selby;C-001;P-002;116.7;2;233.4
11/04/2021;Villa Grande;Itzel Halstead;C-005;P-026;185.03;2;370.06
11/04/2021;Abasto;Faith Hurst;C-005;P-028;124.84;10;1248.4
12/04/2021;Villa Grande;Macie Dixie;C-002;P-008;261.87;9;2356.83
13/04/2021;Villa Grande;Itzel Halstead;C-004;P-020;205.56;5;1027.8
14/04/2021;Villa Grande;Yahir Milthorpe;C-004;P-018;121.47;1;121.47
15/04/2021;Abasto;Faith Hurst;C-002;P-007;385.93;5;1929.65
16/04/2021;San Genaro;Nash Garrison;C-001;P-001;270.36;8;2162.88
17/04/2021;San Genaro;Nash Garrison;C-006;P-036;405.74;8;3245.92
17/04/2021;Abasto;Amica Araya;C-002;P-009;228.04;5;1140.2
18/04/2021;Santo Tomás;Lisa Ferrari;C-005;P-033;331.34;8;2650.72
19/04/2021;Villa Grande;Louise Ralph;C-004;P-019;103.96;1;103.96
20/04/2021;Abasto;Faith Hurst;C-001;P-004;321.99;8;2575.92
20/04/2021;Abasto;Kya Girard;C-005;P-032;207.23;9;1865.07
21/04/2021;Abasto;Faith Hurst;C-001;P-004;321.99;1;321.99
22/04/2021;San Genaro;Nash Garrison;C-002;P-009;228.04;6;1368.24
23/04/2021;Abasto;Kya Girard;C-003;P-015;279.25;9;2513.25
24/04/2021;Victoria;Gage Cutting;C-004;P-019;103.96;4;415.84
24/04/2021;Villa Grande;Joey Paredes;C-005;P-033;331.34;2;662.68
25/04/2021;Villa Grande;Marisa Bradford;C-002;P-006;104.98;3;314.94
25/04/2021;Victoria;Jaime Gallardo;C-005;P-031;281.8;5;1409
26/04/2021;Victoria;Joslyn Gallagher;C-004;P-021;349.42;2;698.84
26/04/2021;Villa Grande;Joey Paredes;C-004;P-025;129.06;4;516.24
27/04/2021;Santo Tomás;Zavier Chittenden;C-004;P-017;370.8;2;741.6
28/04/2021;San Genaro;Barb Pelletier;C-002;P-007;385.93;8;3087.44
28/04/2021;Villa Grande;Yahir Milthorpe;C-005;P-026;185.03;4;740.12
29/04/2021;Abasto;Travon Fotherby;C-003;P-013;115.75;1;115.75
29/04/2021;Abasto;Kya Girard;C-002;P-011;244.13;10;2441.3
30/04/2021;Santo Tomás;Lisa Ferrari;C-006;P-042;144.7;9;1302.3
