Fecha;Sucursal;Vendedor;Categoría de producto;Producto;Precio unitario;Cantidad vendida;Total cobrado
1/08/2021;Victoria;Jaime Gallardo;C-006;P-040;273.32;9;2459.88
1/08/2021;Victoria;Joslyn Gallagher;C-003;P-015;279.25;5;1396.25
1/08/2021;Victoria;Gage Cutting;C-005;P-029;172.82;4;691.28
2/08/2021;Villa Grande;Yahir Milthorpe;C-005;P-030;102.05;5;510.25
2/08/2021;Santo Tomás;Zavier Chittenden;C-003;P-012;414.36;4;1657.44
3/08/2021;San Genaro;Nash Garrison;C-006;P-038;398.03;1;398.03
3/08/2021;Villa Grande;Itzel Halstead;C-004;P-025;129.06;8;1032.48
4/08/2021;Villa Grande;Itzel Halstead;C-005;P-032;207.23;1;207.23
5/08/2021;Abasto;Travon Fotherby;C-002;P-008;261.87;3;785.61
6/08/2021;Villa Grande;Yahir Milthorpe;C-002;P-008;261.87;7;1833.09
6/08/2021;Villa Grande;Jamarcus Sears;C-003;P-013;115.75;9;1041.75
7/08/2021;Villa Grande;Louise Ralph;C-003;P-012;414.36;7;2900.52
8/08/2021;Santo Tomás;Stanley Botolph;C-003;P-014;245.55;5;1227.75
8/08/2021;Villa Grande;Macie Dixie;C-002;P-010;183.85;9;1654.65
9/08/2021;San Genaro;Irvin Reynold;C-006;P-043;314.93;7;2204.51
10/08/2021;San Genaro;Irvin Reynold;C-006;P-039;177.21;10;1772.1
10/08/2021;San Genaro;Barb Pelletier;C-006;P-039;177.21;8;1417.68
11/08/2021;San Genaro;Barb Pelletier;C-006;P-036;405.74;7;2840.18
12/08/2021;Abasto;Kya Girard;C-004;P-020;205.56;8;1644.48
12/08/2021;Santo Tomás;Stanley Botolph;C-005;P-030;102.05;9;918.45
13/08/2021;Abasto;Desmond Haydyn;C-006;P-043;314.93;4;1259.72
13/08/2021;Abasto;Travon Fotherby;C-006;P-037;161.87;5;809.35
14/08/2021;Abasto;Amica Araya;C-003;P-014;245.55;1;245.55
14/08/2021;Abasto;Kya Girard;C-001;P-004;321.99;4;1287.96
15/08/2021;Victoria;Gage Cutting;C-005;P-029;172.82;6;1036.92
15/08/2021;San Genaro;Barb Pelletier;C-005;P-028;124.84;2;249.68
15/08/2021;Abasto;Travon Fotherby;C-004;P-024;427.11;10;4271.1
16/08/2021;Abasto;Kya Girard;C-003;P-012;414.36;6;2486.16
17/08/2021;San Genaro;Barb Pelletier;C-003;P-014;245.55;1;245.55
17/08/2021;Abasto;Desmond Haydyn;C-001;P-002;116.7;3;350.1
17/08/2021;Villa Grande;Louise Ralph;C-004;P-025;129.06;1;129.06
18/08/2021;Victoria;Joslyn Gallagher;C-005;P-027;432.9;2;865.8
19/08/2021;Villa Grande;Yahir Milthorpe;C-004;P-016;259.34;5;1296.7
20/08/2021;Victoria;Nathaly Corwin;C-004;P-020;205.56;7;1438.92
20/08/2021;Villa Grande;Jamarcus Sears;C-002;P-006;104.98;6;629.88
20/08/2021;Victoria;Nathaly Corwin;C-004;P-019;103.96;3;311.88
20/08/2021;San Genaro;Nash Garrison;C-004;P-018;121.47;8;971.76
21/08/2021;Villa Grande;Jamarcus Sears;C-002;P-006;104.98;2;209.96
21/08/2021;San Genaro;Nash Garrison;C-005;P-031;281.8;2;563.6
21/08/2021;Abasto;Faith Hurst;C-005;P-034;361.83;9;3256.47
22/08/2021;Villa Grande;Marisa Bradford;C-001;P-005;183.44;7;1284.08
23/08/2021;San Genaro;Barb Pelletier;C-003;P-015;279.25;7;1954.75
23/08/2021;Abasto;Bethany Selby;C-006;P-036;405.74;7;2840.18
23/08/2021;San Genaro;Nash Garrison;C-005;P-032;207.23;9;1865.07
23/08/2021;Villa Grande;Joey Paredes;C-003;P-014;245.55;4;982.2
24/08/2021;Villa Grande;Macie Dixie;C-005;P-030;102.05;7;714.35
25/08/2021;Villa Grande;Marisa Bradford;C-002;P-008;261.87;6;1571.22
26/08/2021;Abasto;Bethany Selby;C-003;P-014;245.55;1;245.55
26/08/2021;Santo Tomás;Stanley Botolph;C-006;P-040;273.32;6;1639.92
26/08/2021;Villa Grande;Jamarcus Sears;C-005;P-028;124.84;3;374.52
27/08/2021;Villa Grande;Louise Ralph;C-004;P-018;121.47;6;728.82
28/08/2021;Abasto;Kya Girard;C-005;P-031;281.8;4;1127.2
28/08/2021;Abasto;Faith Hurst;C-004;P-017;370.8;8;2966.4
28/08/2021;Victoria;Gage Cutting;C-004;P-018;121.47;5;607.35
29/08/2021;San Genaro;Barb Pelletier;C-001;P-001;270.36;2;540.72
29/08/2021;Villa Grande;Yahir Milthorpe;C-004;P-016;259.34;7;1815.38
29/08/2021;Abasto;Bethany Selby;C-003;P-014;245.55;4;982.2
30/08/2021;Santo Tomás;Lisa Ferrari;C-004;P-021;349.42;3;1048.26
30/08/2021;Santo Tomás;Zavier Chittenden;C-001;P-001;270.36;2;540.72
30/08/2021;Victoria;Gage Cutting;C-001;P-003;361.53;6;2169.18
